Place,latitude,longitude,name,desc
Montague Island,60.0377971,-147.4782755,Montague Island,Montague Island Alaska USA
Morotoai,2.3656672,128.4008357,Morotoai,Morotai Island Morotai Island Regency North Maluku Indonesia
Motcha,,,,
Motikil Island,,,,
Mount St. Thaddeus,,,,
Mt. St. Elias,60.2933333,-140.9294444,Mt. St. Elias,Mt St Elias
New Bay,,,,
New Holland,,,,
New Island,,,,
New Zealand,-40.900557,174.885971,New Zealand,New Zealand
Niphon (Japan),36.204824,138.252924,Niphon (Japan),Japan
Nippon,36.204824,138.252924,Nippon,Japan
Northeast coast of Asia,,,,
Northern shore of America,,,,
Oahu,21.4389123,-158.0000565,Oahu,O‘ahu Hawaii USA
Oahu 5 p. 56,21.4389123,-158.0000565,Oahu 5 p. 56,56 Oahu Rd Hartsel CO 80449 USA
Ocean High Island,-0.8577652,169.5322424,Ocean High Island,Ocean Island Kiribati
Ocean Island,-0.8577652,169.5322424,Ocean Island,Ocean Island Kiribati
Ohitahoo,,,,
Okhotsk Islands,52.873623,149.3658173,Okhotsk Islands,Sea of Okhotsk
Onekotan Island,49.4441667,154.7580556,Onekotan Island,Onekotan Sakhalin Oblast Russia 694550
Oroenga (Tonga),-21.2237815,-159.7490859,Oroenga (Tonga),Oroenga Matavera District Cook Islands
Orurute,,,,
Ototake Island,,,,
Ounimak Island,54.7265729,-164.2169519,Ounimak Island,Unimak Island Alaska USA
Oura Island,,,,
Oweroa (Mangea),,,,
Pacific Ocean,-8.783195,-124.508523,Pacific Ocean,Pacific Ocean
Paita,-5.0870571,-81.1008472,Paita,Paita Province Peru
Paramouchir,50.3580556,155.7891667,Paramouchir,Paramushir Sakhalin Oblast Russia 694550
Paramushir,50.3580556,155.7891667,Paramushir,Paramushir Sakhalin Oblast Russia 694550
Part Pray (Cape Verde),15.120142,-23.6051868,Part Pray (Cape Verde),Part Pray (Cape Verde)
Pedra Branca Rock,-43.85,146.97,Pedra Branca Rock,Pedra Branca Tasmania Australia
Peel Island,-27.5005735,153.3476127,Peel Island,Peel Island QLD 4184 Australia
Peel’s Island,-27.5005735,153.3476127,Peel’s Island,Peel Island QLD 4184 Australia
Penny’s Island,21.3254978,-157.8887677,Penny’s Island,205 Sand Island Access Rd Honolulu HI 96819 USA
Penryhn Island,-9.005122,-157.9762097,Penryhn Island,Penrhyn Kiribati
Perambuco,-8.8137173,-36.954107,Perambuco,State of Pernambuco Brazil
Pernambuco,-8.8137173,-36.954107,Pernambuco,State of Pernambuco Brazil
Pernambuco Brazil,-8.8137173,-36.954107,Pernambuco Brazil,State of Pernambuco Brazil
Perry’s Island,-11.969,143.254,Perry’s Island,Perry’s Island
Pleasant Island,58.3501798,-135.6175235,Pleasant Island,Pleasant Island Alaska USA
Plover Bay,,,,
Point Barrow,71.3875,-156.4811111,Point Barrow,Point Barrow Alaska USA
Point Hope,68.3477778,-166.8080556,Point Hope,Point Hope AK USA
Port,,,,
Port Clarence,65.2622222,-166.8458333,Port Clarence,Port Clarence AK USA
Port William,45.0951577,-65.5333707,Port William,Port William NS CA
Potters Bay,,,,
Praia,14.93305,-23.5133267,Praia,Praia Cape Verde
Praya,14.93305,-23.5133267,Praia,Praia Cape Verde
Prince William’s Island,60.6905448,-147.0970548,Prince William’s Island,Prince William Sound Alaska USA
Prince of Wales Island,55.7794311,-132.8179953,Prince of Wales Island,Prince of Wales Island Alaska USA
Quelpart Island,33.3342402,126.0085494,Quelpart Island Jeju-do S Korea,Quelpart Island Jeju-do S Korea
